Character,Openness,Conscientiousness,Extraversion,Agreeableness,Neuroticism,Num_Chunks_Analyzed
Tom Riddle,4.36554229259491,3.370711088180542,3.5257251858711243,3.637458026409149,2.5031455755233765,4
Trolley witch,4.323328971862793,3.6201400756835938,3.5370595455169678,3.75372052192688,2.4630672931671143,1
Vernon Dursley,4.31197452545166,3.3426069418589273,3.428744316101074,3.6071720918019614,2.5734473864237466,3
Viktor Krum,4.485146522521973,3.645965576171875,3.583523988723755,3.658860921859741,2.314870834350586,1
Vincent Crabbe,4.282172203063965,3.435185432434082,3.4301183223724365,3.6463558673858643,2.617281436920166,1
Voldemort,4.406703948974609,3.418932580947876,3.5668628215789795,3.6642332077026367,2.4648147106170653,5
Waiter,4.315056324005127,3.338726043701172,3.1747381687164307,3.5330986976623535,2.5445523262023926,1
Waitress,4.301482200622559,3.349842071533203,3.298762321472168,3.5849082469940186,2.6227774620056152,1
Wakanda,4.265761375427246,3.402606248855591,3.3063576221466064,3.5948851108551025,2.4897327423095703,1
Walburga Black,4.36107873916626,3.594029426574707,3.685472249984741,3.758775472640991,2.3871045112609863,1
Whomping Willow,4.341094017028809,3.532806396484375,3.46636962890625,3.6471588611602783,2.525909185409546,1
Witch,4.3858113288879395,3.463789701461792,3.466127634048462,3.6823081970214844,2.5344786643981934,1
Wizard,4.260659217834473,3.3468546867370605,3.4552948474884033,3.6302855014801025,2.62786602973938,1
Woman,4.348930358886719,3.3635430335998535,3.3148605823516846,3.5947086811065674,2.565392017364502,1
Xenophilius Lovegood,4.444716453552246,3.5144057273864746,3.622199296951294,3.727060079574585,2.478019952774048,1
Zacharias Smith,4.449393272399902,3.5765748023986816,3.4256765842437744,3.615312337875366,2.3863749504089355,1
